Model,MSE,MAE,R2,RMSE,MSLE,Best Params,CV_MEAN_MSE,CV_STD_MSE
Base,0.16727197982172076,0.2875646852635622,0.7235360145661914,0.40898897273853335,0.0009673777888393508,N/A,0.1672828731638131,0.0009388723437861769
Optimized,0.15969977273850963,0.2806010934323223,0.7360512161617359,0.3996245397101004,0.0009229957226557995,"{'eta': 0.2, 'max_depth': 6, 'n_estimators': 150}",0.16011721975324864,0.0009074199404553188
